"Y","01/26/2018 13:00:00","01/26/2018 13:23:00","Containers","How Red Hat builds containers","This presentation is about OSBS, why it was created, how it was developed and what the future plans. The presentation would show what other parts a good buildsystem needs other than 'docker build', how OSBS is integrated in release pipeline.The final part of the presentation would cover other topics for OSBS - flatpak building, coupled with Modularity efforts and future OCI tools/containers support.","Luiz Carvalho; Vadim Rutkovsky","C-D0207",,"Containers"
"Y","01/26/2018 12:00:00","01/26/2018 12:53:00","Storage","Everything you wanted to know about object storage","The rapid growth of unstructured data is fueling the need for a next generation storage that’s flexible, economical, and scalable enough to handle the petabytes of data being created every day. Object storage is the answer!  Ceph is a highly available distributed software defined storage, that provides two object storage interfaces: Rados provides native object storage API using a rich library with C/C++, java, python, go and several others bindings. Ceph RGW (Rados Gateway) provides HTTP REST API that is Amazon S3 and openstack swift compatible. In this talk I will introduce object storage foundations, best practices and Ceph object storage solution.","Orit Wasserman","G-E105",,"Cloud,Storage"
"Y","01/26/2018 14:30:00","01/26/2018 14:53:00","Desktop","PipeWire: Rethinking Multimedia","PipeWire is a multimedia API that makes it easier to build distributed real-time multimedia pipelines. It was originally built to provide shared access to cameras but it can also be used to build a variety of multimedia services such as a sound server. PipeWire is built on top of a new low-level plugin API (SPA for Simple Plugin API) that is designed to be simple, efficient and suitable for hard real-time processing.  In this presentation I want to talk about the design ideas, the current status and the future plans for PipeWire.","Wim Taymans","E-G202",,"Desktop,Development,Middleware"
"Y","01/28/2018 14:30:00","01/28/2018 14:53:00","Platform/OS","How to build a module (Mock + Copr)","Did you hear about Modularity? Do you still wonder what it is? How it easy your life of developer? I will show you how you can build your own module in Copr with just a few clicks and how to build your packages on top of modules using Mock.","Miroslav Suchý","A-D105",,"Development"
"Y","01/27/2018 11:30:00","01/27/2018 12:23:00","Kernel","Recent Locking Improvements in the Linux Kernel","The Linux locking primitives (spinlocks, rwlocks, mutex, rw semaphores and futexes) have undergone substantial changes in recent years to improve their performance and scalability. This talk will present the new locking implementations like qspinlock, qrwlock as well as improvements to existing mutex, rw semaphore and futex code bases. It  will also discuss new locking patches that are being proposed to be merged in future kernel releases. After the session, the audience will have a better understanding of the locking improvements and what to expect in the near future.","Waiman Long","B-D0206",,"Kernel"
"Y","01/27/2018 15:30:00","01/27/2018 15:53:00","Virtualization","Easy development with Docker and Openshift tooling","Container oriented development is a new way to adopt for today's developers. Although base tooling allow easy and simple deployment to be adopted, developers needs more accurate tools to deal with their day to day operations.  Based on the Eclipse Docker and OpenShift tooling, we will discover how developer tasks can be easily managed from the Eclipse IDE: - managing containers, images - dealing with complex deployments - deploying and debugging local projects inside launched containers  We will walk from a simple scenario (Docker image build) to a more complex real case scenario where our application deployed on a cloud provider is remotely debugged. Everything from within the Eclipse IDE !!!","Dmitrii Bocharov","G-E105",,"Containers,Desktop,Development"
"Y","01/27/2018 11:00:00","01/27/2018 11:53:00","Config Management","Ansible Container : Build Better!","Look Mom, No Dockerfile! We'll build a multi-container project from scratch without writing any Dockerfiles. You'll learn how Ansible Container works, the container.yml syntax, how to build images using only Ansible roles, and how to orchestrate containers locally on your laptop.   But we're not stopping there! We'll deploy our new application to OpenShift. You'll learn how Ansible Container translates your project to K8s configuration files, how it performs the deployment, and some best practices you can implement to make your app production ready.","Chris Houseknecht","H-E112",,"Automation,Containers"
"Y","01/27/2018 15:00:00","01/27/2018 15:53:00","JUDCon","Cyborg Teams","In the Cockpit project we’ve done something amazing: We’ve built a team that’s part human and part machine working on an Open Source project. “Cockpituous”, our project’s #5 commit contributor, is actually our automated team members.Bots do the mundane tasks that would otherwise use up the time of human contributors. You can see them self-organizing, doing continuous integration, finding issues, contributing code changes, making decisions, releasing the software into Linux distros and containers. They work in a distributed, organic way, and run in containers on Openshift.We’ll talk about how humans are training the bots, and how bots are using machine learning to learn from the humans.Treating the bots as team members is fundamental to achieving this.","Stef Tobias Walter","E-G202",,"AI/Machine Learning,Automation,Development"
"Y","01/28/2018 16:00:00","01/28/2018 16:23:00","Kernel","OpenHPC Introduction","Software provisioning is a common task repeated at many high performance computing (HPC) sites to provide the local users with scientific applications and libraries. As the effort to compile HPC software is known to be duplicated by many HPC sites, the idea to collaborate in a community led to the creation of the OpenHPC project.  In this talk I want to provide an introduction to OpenHPC, its community efforts and how it can help HPC sites.  In addition to the OpenHPC introduction I want to describe how the OpenHPC community effort is used as upstream for the CentOS HPC SIG. I want to present the current status of the HPC SIG and the future goals.","Adrian Reber","B-D0206",,"Platform/OS"
"Y","01/26/2018 11:00:00","01/26/2018 11:53:00","Containers","Next-gen container images","This presentation is an overview of the tooling and techniques to produce next-gen container images! More details:  * containerized services which can be easily configured * maintaining dockerfiles for multiple versions and distributions * container testing* automation of the delivery","Eliska Slobodova; Tomas Tomecek","C-D0207",,"Containers,Platform/OS,Security,Testing"
"Y","01/28/2018 11:30:00","01/28/2018 12:23:00","Kernel","Slicing a GPU (Virtually!)","Several workloads require a GPU acceleration, either for graphics or for computations. There are multiple ways to run these GPU accelerated workloads in KVM guests. This sessionwill explore many options that are usable today, as well as a fewthat are still work in progress, and clarify the options availablefor recent products from each of the main GPU vendors. The talk is based on experience from implementing GPU virtualization in SPICE and oVirt projects.In particular, the session will cover:- direct GPU assignment with IOMMU, dedicating a GPU for a specific VM- vfio-mdev, which lets you split a single supported GPU for use in multiple VMs- VirtIO GPU, which offers more flexibility at the expense of performance- SPICE streaming for remote 3D renderingAfter attending the session, attendees should be able to1. understand basics of each solution's usage2. know how to choose a GPU accelerated solution that matches their needs3. know how to configure a virtual machine in that configuration4. be aware of performance and quality trade-offs","Christophe de Dinechin; Martin Polednik","B-D0206",,"Virtualization"
"Y","01/27/2018 12:30:00","01/27/2018 12:53:00","Kernel","KASan or how to get rid of memory corruption","Bugs that corrupts the memory are extremely annoying. The corruption is often silent as it happens, and only become apparent later when the corrupted address is being accessed, possibly by a totally unrelated code, and all useful information about the context in which the corruption occurred has been lost.  KASan (Kernel Address Sanitizer) is a tool that allow to catch the faulty accesses that cause memory corruption as they happen, and thus greatly facilitate the debugging of such issue  In this talk, I'll explain what are the common causes of memory corruption, how KASan works, how to use it and, I hope, inspire kernel developer to use it more.","Jerome Marchand","B-D0206",,"Kernel"
"Y","01/27/2018 12:00:00","01/27/2018 12:53:00","Config Management","Ansible 202: Best Practices from the field","This deck tries to gather a series of best practices directly from 'the trenches', where the development of ansible roles is at odds with the elegance of the implementation and sometimes with delivery times. This talk deals with points such as code reuse, role tests, variable inheritance, SCM management, Debugging strategies, etc...","Juan Manuel Parrilla","H-E112",,"Automation,Configuration Management"
"Y","01/26/2018 11:30:00","01/26/2018 12:23:00","Security & IdM","Unleashing the Underworld: Kerberos for Developers","Kerberos has long been a demand of the enterprise environment, and there's a lot for security-conscious developers to like that we often don't talk about.  I'll touch on what makes Kerberos nice from a security perspective, but the focus of the talk will be on enablement: how can you use these cool features in your software?  Some features, time permitting, that will be discussed include: OTP and second factor support, public key authentication, SAML/SPNEGO and web logins, python bindings, and, of course, the more traditional authentication/encryption routes. Expect canned demos!  Very basic familiarity with Kerberos is expected (i.e., the first two paragraphs of the Wikipedia article), but this talk won't go very far into how Kerberos works internally.","Robbie Harwood","F-E104",,"IdentityManagement,Security"
"Y","01/28/2018 10:30:00","01/28/2018 10:53:00","Fedora","You want a Clean Desktop OS? Containerize it.","Containers are all the rage, alongside cloud and DevOps. Sometimes they also induce rage. In this talk, we will take a look at using Fedora Atomic on your desktop, when it makes sense, and what the potential benefits vs drawbacks of having a container-based OS on your desktop are for you as a developer.  You will learn:  * what Atomic Host is * how it compares to CoreOS * that you can use container-based OS on your desktop machine as well * if and why that makes sense from a developer's perspective * how to do it effectively  No maximum for attendees, no specific requirements, the talk is beginner-friendly, but some existing knowledge of containers is advised.","Sanja Bonic","H-E112",,"Containers,Desktop,Platform/OS"
"Y","01/28/2018 13:30:00","01/28/2018 13:53:00","Fedora","Fedora Workstation Year 3","We been pushing Fedora Workstation for 3 years now and have successfully grown the userbase significantly. At the same time changes within Red Hat and in the marketplace has affected some of the plans made so this talk will both cover some of major milestones we achieved, but also talk about the items we need to focus on going forward to keep growing.","Christian Fredrik Kalager Schaller","H-E112",,"Desktop"
"Y","01/27/2018 11:15:00","01/27/2018 11:53:00","CI/CD","Container CI with Jenkins and Openshift","Containers are everywhere. Most applications today make use of multiple containers in their architecture. Very often, you need to test changes to one or more of your containers prior to moving them into production. Using Openshift as the platform and using Jenkins pipelines and the Jenkins Kubernetes plugin, I will present how to setup your workflow and help guide you on how to achieve efficient container CI.  Phoebe Talk #2","Scott Hebert","F-E104",,"Automation,Containers"
"Y","01/26/2018 10:30:00","01/26/2018 10:53:00","Containers","The Fedora Modular Server is Dead, what's next?","Over the past couple years we have been working to restructure the distro in terms of a higher value component called a 'module.' We had planned to deliver the first production version of the modular distro with F27. However, as we ran up to the release the result had some &nbsp;problems that we didn't feel comfortable shipping.Come hear about why we started down this road and our milestones along the way. We will also discuss the details of why the approach we had failed and why our new approach will work.. We will also demonstrate an early version of the 'addon approach.' We will also demonstrate some of the advantages of a modular-aware distribution to container & system management.","Langdon White","C-D0207",,"Containers,Platform/OS"
"Y","01/26/2018 13:00:00","01/26/2018 13:23:00","Security & IdM","Why I seldom file bugs against SELinux policy","From time to time, especially with new version of operating system, new errors may show up, and sometimes they are accompanied by AVC denials, pointing to errors in SELinux policy. When that happens for example in Fedora, as a good community member you might be inclined to just file bug against selinux-policy. That might however leave the package maintainer out of the loop and not lead to proper fix. Enforcing SELinux sometimes discovers real bugs, real regressions, and it should ideally be embraced by all maintainers. We will look at real-life examples when AVC denials have actually helped to uncover real bugs.","Jan Pazdziora","F-E104",,"Community,Development,Platform/OS,Security,Testing"
